community_id	genome_id	mean_log_abund	stdev_log_abund
gut1_ecoli_clonal	Bordetella_pertussis_H920	1	1
gut1_ecoli_clonal	Geobacillus_thermodenitrificans_NG80_2	1	1
gut1_ecoli_clonal	Bifidobacterium_animalis_Bl_04_ATCC_SD5219	1	1
gut1_ecoli_clonal	Pseudomonas_plecoglossicida_NyZ12	1	1
gut1_ecoli_clonal	Pseudonocardia_dioxanivorans_CB1190	1	1
gut1_ecoli_clonal	Mycobacterium_tuberculosis_EAI5_NITR206	1	1
gut1_ecoli_clonal	Sporanaerobacter_NJN_17_NJN_17	1	1
gut1_ecoli_clonal	Corynebacterium_pseudotuberculosis_42_02_A	1	1
gut1_ecoli_clonal	Porphyromonas_gingivalis_TDC60	1	1
gut1_ecoli_clonal	Lactobacillus_salivarius_CICC_23174	1	1
gut1_ecoli_clonal	Xanthomonas_oryzae_MAI145	1	1
gut1_ecoli_clonal	Corynebacterium_pseudotuberculosis_PO222_4_1	1	1
gut1_ecoli_clonal	Bifidobacterium_breve_DRBB30	1	1
gut1_ecoli_clonal	Actinobacillus_lignieresii_NCTC10568	1	1
gut1_ecoli_clonal	Bordetella_pertussis_I968	1	1
gut1_ecoli_clonal	Streptomyces_globisporus_TFH56	1	1
gut1_ecoli_clonal	Paraglaciecola_psychrophila_170	1	1
gut1_ecoli_clonal	Bordetella_pertussis_H910	1	1
gut1_ecoli_clonal	Mycolicibacterium_smegmatis_MKD8	1	1
gut1_ecoli_clonal	Legionella_pneumophila_Detroit_1	1	1
gut1_ecoli_clonal	Streptomyces_SM17_SM17	1	1
gut1_ecoli_clonal	Intrasporangium_calvum_DSM_43043	1	1
gut1_ecoli_clonal	Chryseobacterium_gleum_NCTC11432	1	1
gut1_ecoli_clonal	Lactobacillus_plantarum_b_2	1	1
gut1_ecoli_clonal	Ralstonia_solanacearum_SL3300	1	1
gut1_ecoli_clonal	Klebsiella_variicola_AJ055	1	1
gut1_ecoli_clonal	Burkholderia_cenocepacia_H111	1	1
gut1_ecoli_clonal	Haemophilus_influenzae_M17648	1	1
gut1_ecoli_clonal	Streptococcus_pyogenes_TSPY155	1	1
gut1_ecoli_clonal	Vibrio_vulnificus_ATL_6_1306	1	1
gut1_ecoli_clonal	Streptococcus_FDAARGOS_520_FDAARGOS_520	1	1
gut1_ecoli_clonal	Cobetia_marina_JCM_21022	1	1
gut1_ecoli_clonal	Wolbachia_endosymbiont_Cameroon	1	1
gut1_ecoli_clonal	Polynucleobacter_necessarius_STIR1	1	1
gut1_ecoli_clonal	Vibrio_coralliilyticus_58	1	1
